X,Y,#
3656,2740,133
x,y
[3247 2734]
[3246 2735]
[3245 2735]
[3244 2736]
[3244 2739]
[3256 2739]
[3255 2738]
[3255 2737]
[3253 2735]
[3252 2735]
[3251 2734]
[3394 1840]
[3394 1839]
[3395 1838]
[3395 1835]
[3394 1835]
[3392 1833]
[3392 1832]
[3390 1832]
[3389 1831]
[3402 1828]
[3401 1829]
[3401 1831]
[3400 1832]
[3401 1832]
[3403 1834]
[3404 1833]
[3405 1833]
[3407 1831]
[3406 1830]
[3406 1829]
[3405 1828]
[1339 1824]
[1338 1825]
[1338 1828]
[1339 1829]
[1342 1829]
[1343 1828]
[1344 1828]
[1343 1827]
[1344 1826]
[1344 1825]
[1343 1824]
[ 222 1823]
[ 215 1830]
[ 215 1831]
[ 212 1834]
[ 212 1835]
[ 213 1835]
[ 214 1836]
[ 214 1839]
[ 216 1841]
[ 216 1842]
[ 218 1844]
[ 223 1844]
[ 224 1845]
[ 227 1845]
[ 228 1844]
[ 229 1845]
[ 230 1844]
[ 230 1843]
[ 231 1842]
[ 232 1842]
[ 234 1840]
[ 234 1838]
[ 235 1837]
[ 234 1836]
[ 234 1835]
[ 233 1834]
[ 233 1831]
[ 232 1830]
[ 232 1829]
[ 231 1828]
[ 230 1828]
[ 229 1827]
[ 229 1826]
[ 226 1823]
[ 318 1810]
[ 316 1812]
[ 315 1812]
[ 314 1813]
[ 312 1813]
[ 312 1814]
[ 311 1815]
[ 311 1816]
[ 311 1815]
[ 312 1814]
[ 313 1814]
[ 315 1816]
[ 316 1816]
[ 317 1817]
[ 318 1817]
[ 319 1816]
[ 320 1817]
[ 321 1816]
[ 322 1816]
[ 322 1814]
[ 323 1813]
[ 321 1811]
[ 322 1810]
[3157 1803]
[3156 1804]
[3156 1807]
[3157 1808]
[3160 1808]
[3161 1807]
[3161 1804]
[3160 1803]
[ 521 1756]
[ 520 1757]
[ 520 1758]
[ 519 1759]
[ 518 1759]
[ 518 1761]
[ 517 1762]
[ 517 1764]
[ 516 1765]
[ 516 1767]
[ 517 1768]
[ 517 1770]
[ 518 1770]
[ 519 1771]
[ 520 1771]
[ 521 1772]
[ 525 1772]
[ 526 1771]
[ 527 1771]
[ 528 1770]
[ 529 1770]
[ 530 1769]
[ 530 1768]
[ 531 1767]
[ 531 1763]
[ 527 1759]
[ 527 1757]
[ 523 1757]
[ 522 1756]
[1041 1754]
[1035 1760]
[1035 1768]
[1037 1770]
[1039 1770]
[1040 1771]
[1042 1771]
[1043 1770]
[1044 1770]
[1050 1764]
[1050 1762]
[1049 1761]
[1049 1757]
[1048 1756]
[1047 1756]
[1045 1754]
[1015 1731]
[1013 1733]
[1010 1733]
[1008 1735]
[1007 1735]
[1006 1736]
[1006 1737]
[1005 1738]
[1005 1739]
[1004 1740]
[1004 1741]
[1003 1742]
[1003 1743]
[1002 1744]
[1002 1746]
[1001 1747]
[1002 1748]
[1002 1752]
[1003 1753]
[1004 1753]
[1005 1754]
[1006 1754]
[1007 1755]
[1012 1755]
