X,Y,#
4349,2124,BAD
4350,2124,BAD
4351,2124,BAD
4352,2124,BAD
4353,2124,BAD
4354,2124,BAD
4355,2124,BAD
4356,2124,BAD
4357,2124,BAD
4358,2124,BAD
4359,2124,BAD
4360,2124,BAD
4361,2124,BAD
4362,2124,BAD
4363,2124,BAD
4364,2124,BAD
4365,2124,BAD
4366,2124,BAD
4367,2124,BAD
4368,2124,BAD
4369,2124,BAD
4370,2124,BAD
4371,2124,BAD
4372,2124,BAD
4373,2124,BAD
4374,2124,BAD
4375,2124,BAD
4376,2124,BAD
4377,2124,BAD
4378,2124,BAD
4379,2124,BAD
4347,2125,BAD
4348,2125,BAD
4349,2125,BAD
4350,2125,BAD
4351,2125,BAD
4352,2125,BAD
4353,2125,BAD
4354,2125,BAD
4355,2125,BAD
4356,2125,BAD
4357,2125,BAD
4358,2125,BAD
4359,2125,BAD
4360,2125,BAD
4361,2125,BAD
4362,2125,BAD
4363,2125,BAD
4364,2125,BAD
4365,2125,BAD
4366,2125,BAD
4367,2125,BAD
4368,2125,BAD
4369,2125,BAD
4370,2125,BAD
4371,2125,BAD
4372,2125,BAD
4373,2125,BAD
4374,2125,BAD
4375,2125,BAD
4376,2125,BAD
4377,2125,BAD
4378,2125,BAD
4379,2125,BAD
4380,2125,BAD
4346,2126,BAD
4347,2126,BAD
4348,2126,BAD
4349,2126,BAD
4350,2126,BAD
4351,2126,BAD
4352,2126,BAD
4353,2126,BAD
4354,2126,BAD
4355,2126,BAD
4356,2126,BAD
4357,2126,BAD
4358,2126,BAD
4359,2126,BAD
4360,2126,BAD
4361,2126,BAD
4362,2126,BAD
4363,2126,BAD
4364,2126,BAD
4365,2126,BAD
4366,2126,BAD
4367,2126,BAD
4368,2126,BAD
4369,2126,BAD
4370,2126,BAD
4371,2126,BAD
4372,2126,BAD
4373,2126,BAD
4374,2126,BAD
4375,2126,BAD
4376,2126,BAD
4377,2126,BAD
4378,2126,BAD
4379,2126,BAD
4380,2126,BAD
4381,2126,BAD
4345,2127,BAD
4346,2127,BAD
4347,2127,BAD
4348,2127,BAD
4349,2127,BAD
4350,2127,BAD
4351,2127,BAD
4352,2127,BAD
4353,2127,BAD
4354,2127,BAD
4355,2127,BAD
4356,2127,BAD
4357,2127,BAD
4358,2127,BAD
4359,2127,BAD
4360,2127,BAD
4361,2127,BAD
4362,2127,BAD
4363,2127,BAD
