X,Y,#
3656,2740,37
x,y
[1365 2736]
[1364 2737]
[1362 2737]
[1361 2738]
[1361 2739]
[1374 2739]
[1374 2737]
[1373 2736]
[1370 2736]
[1369 2737]
[1368 2737]
[1367 2736]
[ 402 1255]
[ 400 1257]
[ 399 1257]
[ 398 1258]
[ 397 1258]
[ 397 1259]
[ 396 1260]
[ 395 1260]
[ 394 1261]
[ 394 1262]
[ 392 1264]
[ 392 1268]
[ 391 1269]
[ 391 1278]
[ 393 1280]
[ 393 1281]
[ 394 1282]
[ 394 1283]
[ 395 1284]
[ 395 1287]
[ 397 1289]
[ 398 1289]
[ 399 1290]
[ 400 1290]
[ 401 1291]
[ 401 1292]
[ 402 1293]
[ 404 1293]
[ 405 1294]
[ 407 1294]
[ 408 1295]
[ 409 1294]
[ 410 1294]
[ 411 1295]
[ 413 1295]
[ 414 1294]
[ 419 1294]
[ 420 1293]
[ 421 1293]
[ 425 1289]
[ 425 1288]
[ 426 1287]
[ 426 1286]
[ 427 1285]
[ 427 1280]
[ 428 1279]
[ 428 1276]
[ 429 1275]
[ 429 1274]
[ 428 1274]
[ 427 1273]
[ 427 1272]
[ 426 1271]
[ 426 1268]
[ 425 1267]
[ 425 1266]
[ 424 1265]
[ 424 1264]
[ 420 1260]
[ 420 1259]
[ 419 1259]
[ 418 1258]
[ 415 1258]
[ 414 1257]
[ 410 1257]
[ 409 1256]
[ 410 1255]
[ 409 1256]
[ 405 1256]
[ 404 1255]
[ 549 1228]
[ 549 1229]
[ 547 1231]
[ 547 1232]
[ 546 1233]
[ 546 1239]
[ 548 1241]
[ 550 1241]
[ 551 1242]
[ 552 1241]
[ 552 1240]
[ 554 1238]
[ 554 1237]
[ 556 1235]
[ 556 1232]
[ 557 1231]
[ 556 1230]
[ 556 1229]
[ 555 1228]
[ 554 1229]
[ 553 1228]
[  75 1153]
[  72 1156]
[  72 1157]
[  71 1158]
[  71 1162]
[  70 1163]
[  70 1164]
[  71 1165]
[  71 1169]
[  72 1170]
[  72 1171]
[  75 1174]
[  76 1174]
[  77 1175]
[  82 1175]
[  83 1174]
[  83 1173]
[  84 1172]
[  84 1168]
[  83 1167]
[  83 1159]
[  84 1158]
